-- 0 --a:1  --b:24 ---
20 7 2 13 13 4 20 6 23 10 12 14 10 15 20 18 10 10 1 10 5 14 22 1 14 12 15 8 22 15 22 22 4 1 12 20 14 20 22 15 10 20 3 13 10 12 19 12 15 20 1 20 10 3 17 6 16 5 12 21 17 4 6 15 3 9 6 17 5 9 4 23 12 7 23 12 19 15 15 19 9 19 23 10 5 21 12 12 16 22 3 4 10 23 13 3 17 21 18 9 18 11 20 14 13 9 12 21 21 6 9 2 1 16 16 21 4 10 2 4 9 22 18 22 8 11 12 23 19 19 4 23 15 5 9 19 3 21 14 3 22 12 2 7 15 8 3 11 16 19 14 21 15 18 1 15 2 4 17 21 11 16 20 20 16 18 18 3 21 11 6 21 16 20 2 19 3 6 11 20 2 21 9 10 5 11 2 8 20 6 16 4 6 23 16 18 22 10 15 18 14 4 5 16 20 21 12 1 7 2 17 18 19 5 1 13 16 9 11 11 10 8 7 5 6 22 21 7 20 2 6 5 8 8 7 20 9 19 5 10 18 18 4 20 4 19 14 8 15 10 9 19 10 12 7 18 22 7 4 9 9 9 17 16 9 3 15 1 5 11 10 17 11 22 13 6 13 2 1 22 23 3 15 12 12 3 8 10 12 12 21 22 5 1 2 8 1 11 5 2 23 19 14 16 1 16 2 18 16 17 5 16 17 11 14 17 23 8 7 23 6 23 22 4 17 22 20 12 10 11 19 22 1 12 9 20 15 2 23 23 17 3 21 7 14 19 21 17 8 10 22 11 2 18 9 23 13 12 12 20 1 20 11 11 5 8 5 19 14 14 10 10 9 21 1 18 23 15 14 6 20 10 1 14 23 23 8 20 22 1 3 3 21 9 2 7 12 9 9 6 8 12 15 9 16 20 12 19 15 2 6 8 4 4 13 12 19 9 7 21 8 4 6 5 15 23 8 23 11 3 9 14 5 12 13 5 3 12 1 5 14 9 14 16 9 13 3 21 14 5 12 22 20 11 3 5 7 23 5 16 19 2 7 20 9 10 21 21 22 19 9 1 9 16 6 17 10 10 11 10 17 10 17 23 16 6 19 10 13 13 16 23 4 22 14 9 23 20 3 20 22 13 9 21 1 17 15 4 12 17 6 8 8 21 5 20 2 22 13 18 5 5 13 16 15 18 16 21 10 5 15 17 10 15 9 10 13 10 18 2 20 15 20 22 5 7 10 6 13 3 10 7 2 17 18 16 18 12 19 8 21 16 5 2 20 20 8 9 15 10 1 9 22 19 8 16 1 3 3 12 2 13 11 13 14 13 3 6 13 21 6 11 17 15 9 15 14 17 5 7 12 9 19 19 4 10 3 13 2 12 7 20 14 21 8 8 2 22 12 10 17 3 1 2 2 14 11 3 7 22 17 8 16 17 11 13 20 23 6 18 9 16 19 17 21 14 16 19 14 18 16 4 18 15 16 20 4 20 22 8 17 22 23 21 14 5 2 21 5 5 13 15 7 7 14 9 19 15 11 12 4 12 3 12 4 16 20 16 12 22 10 10 9 19 22 17 20 8 17 13 18 7 19 19 9 1 22 15 14 11 20 20 11 17 14 3 17 13 20 21 2 12 6 16 21 8 15 14 2 3 18 16 8 10 17 11 23 21 17 15 14 15 1 16 19 10 15 18 1 17 16 10 10 18 3 15 13 21 19 23 12 10 9 13 9 11 8 9 12 22 4 4 1 19 22 19 12 22 10 12 22 20 14 1 17 12 19 16 11 2 21 18 7 17 7 5 20 5 7 12 11 21 20 22 18 21 3 21 11 5 13 5 18 13 5 13 13 18 14 7 3 2 4 5 6 11 14 15 10 20 5 15 11 15 15 9 8 22 4 13 5 5 16 15 21 13 2 4 11 14 9 3 7 15 2 18 1 15 4 20 5 2 12 9 12 17 14 7 1 15 17 17 6 2 11 16 2 22 8 16 13 7 6 12 19 5 3 2 23 11 17 13 8 19 12 11 3 9 1 15 13 11 9 8 4 17 10 5 9 21 17 4 7 23 3 11 18 8 18 2 9 18 15 13 21 21 13 13 13 16 2 6 23 6 5 20 13 5 23 15 20 11 20 10 22 23 5 18 11 16 23 19 2 23 16 3 7 19 18 2 9 8 5 12 23 6 8 21 20 11 11 6 16 13 9 17 19 18 7 9 18 4 15 14 9 17 14 18 20 22 4 1 12 5 16 8 17 7 22 14 8 17 22 2 11 15 20 9 18 9 7 16 8 14 9 13 7 1 23 12 18 21 22 18 12 8 22 1:  3.31061%
2:  4.28432%
3:  3.79747%
4:  3.40798%
5:  4.96592%
6:  3.11587%
7:  3.50536%
8:  4.08958%
9:  5.64752%
10:  4.86855%
11:  4.38169%
12:  5.3554%
13:  4.47907%
14:  4.08958%
15:  4.96592%
16:  4.77118%
17:  4.57644%
18:  4.28432%
19:  4.08958%
20:  5.25803%
21:  4.47907%
22:  4.57644%
23:  3.7001%


-- 1 --a:1  --b:36 ---
26 19 24 25 30 29 4 24 20 14 22 27 25 17 24 30 18 23 12 19 35 25 13 24 21 27 8 34 3 8 28 23 25 10 34 17 9 18 31 28 13 34 25 24 18 19 35 18 12 21 16 5 21 4 4 21 4 3 29 7 29 24 24 11 27 25 16 8 19 3 30 9 17 6 2 2 10 15 11 23 10 29 22 9 2 13 29 8 23 17 27 4 3 18 31 4 11 24 3 24 26 22 12 25 8 15 11 20 6 1 20 22 3 29 31 4 29 28 1 25 10 11 22 35 16 28 2 15 1 22 33 23 29 23 11 21 10 25 17 26 5 23 27 2 17 20 20 27 18 34 25 1 10 33 6 24 23 4 9 35 28 12 21 4 4 27 28 9 3 18 12 29 7 34 24 2 30 29 34 2 32 35 33 16 1 15 23 2 29 18 6 12 23 26 14 22 16 26 32 15 28 7 7 15 27 23 5 23 19 11 10 17 22 30 10 21 29 1 19 2 21 24 4 18 19 25 27 1 1 30 7 25 5 9 13 9 19 4 19 2 29 15 11 21 17 22 35 1 32 30 33 21 12 9 32 17 22 14 7 13 14 24 8 1 5 22 25 10 25 20 21 31 7 31 16 25 4 29 4 12 15 23 11 30 3 15 22 33 9 31 2 31 7 16 24 28 9 9 7 9 32 5 17 35 14 20 3 19 15 6 33 14 8 27 25 31 6 16 16 34 3 5 16 22 32 33 29 10 17 15 25 32 7 12 1 3 11 18 23 33 35 29 1 18 4 35 9 3 2 18 23 10 5 20 12 15 13 2 24 35 11 23 33 33 33 29 1 11 25 20 12 25 4 26 31 21 9 19 32 9 19 19 23 4 28 33 27 11 2 7 26 18 26 35 5 28 15 10 10 24 10 26 27 13 1 13 32 21 22 31 6 10 4 11 23 5 3 11 8 18 24 19 33 28 4 23 9 21 32 18 16 33 30 23 7 10 25 31 24 26 3 6 18 18 9 2 10 34 17 17 13 35 18 19 22 32 10 30 26 28 4 8 35 1 2 3 6 9 4 24 28 13 11 34 13 33 33 2 22 13 32 8 15 21 11 30 21 19 33 34 28 20 12 19 15 29 28 23 26 8 20 32 23 34 32 17 30 17 6 26 32 1 22 13 23 11 5 34 22 33 24 10 12 4 14 13 27 11 14 3 2 33 5 2 9 29 26 24 20 24 17 1 14 33 15 28 16 4 25 14 25 2 20 28 32 18 2 29 20 2 32 5 6 24 24 7 3 33 12 7 26 18 30 10 27 1 28 31 5 5 17 28 17 2 15 14 21 13 14 19 35 28 17 30 10 1 29 18 1 25 22 12 3 11 27 24 18 9 4 24 1 8 15 24 19 21 27 29 34 3 22 26 9 5 11 28 18 33 35 27 9 31 26 2 27 3 32 33 27 18 7 20 5 35 4 29 18 9 16 16 15 1 21 35 24 14 9 1 20 26 5 9 30 1 11 16 14 22 20 32 9 1 11 15 16 23 18 18 28 35 22 20 33 7 22 26 16 10 24 7 35 11 16 5 25 10 10 20 4 14 6 30 28 4 11 8 27 21 7 20 17 1 20 5 7 5 32 23 18 3 24 33 23 15 17 30 2 6 25 28 30 2 28 4 26 4 12 3 22 30 19 27 19 6 4 6 29 34 11 21 15 16 28 27 24 25 2 12 12 33 24 22 35 20 3 24 23 27 8 6 4 1 25 23 10 24 26 6 5 19 11 21 7 17 26 7 1 9 6 5 8 8 26 11 20 24 27 31 23 35 18 6 14 24 6 5 20 5 10 35 23 29 22 17 32 17 19 14 11 11 35 16 23 11 17 35 3 9 35 6 15 33 17 15 30 31 13 23 10 16 19 32 24 15 26 5 32 3 22 18 10 3 4 5 2 2 28 23 32 33 2 9 18 5 4 33 35 28 7 17 6 16 8 4 34 15 10 34 25 12 17 3 24 7 16 5 22 2 19 1 35 35 20 11 32 27 17 14 29 11 9 2 8 3 10 22 20 25 16 28 23 18 35 16 7 17 11 3 9 18 10 26 34 14 4 18 6 8 17 14 28 4 21 17 11 8 33 2 27 22 3 5 17 24 3 17 25 19 7 3 21 20 28 33 12 19 27 34 19 21 23 17 35 34 7 8 2 27 18 10 15 31 6 8 8 4 28 12 28 9 30 19 10 22 19 31 28 30 26 17 1 13 4 4 35 23 1 23 33 2 10 6 27 26 14 14 30 28 32 14 25 17 16 35 14 33 6 31 28 17 1 17 28 6 34 20 18 11 11 21 14 27 9 30 1:  3.09478%
2:  3.38491%
3:  3.09478%
4:  3.77176%
5:  2.90135%
6:  2.61122%
7:  2.51451%
8:  2.22437%
9:  3.19149%
10:  3.2882%
11:  3.57834%
12:  2.03095%
13:  1.6441%
14:  2.41779%
15:  2.61122%
16:  2.51451%
17:  3.77176%
18:  3.48162%
19:  2.90135%
20:  2.70793%
21:  2.51451%
22:  2.99807%
23:  3.57834%
24:  3.77176%
25:  2.99807%
26:  2.61122%
27:  2.90135%
28:  3.57834%
29:  2.51451%
30:  2.32108%
31:  1.74081%
32:  2.51451%
33:  3.19149%
34:  1.93424%
35:  3.09478%


-- 2 --a:1  --b:23 ---
7 1 2 20 14 16 20 1 7 20 11 17 22 2 18 18 7 14 19 11 4 20 12 13 21 22 8 10 2 3 18 4 16 12 13 1 15 1 17 2 12 18 3 5 1 19 2 15 5 2 7 6 5 21 16 2 14 7 14 20 14 1 22 14 18 19 16 9 10 5 4 8 8 9 11 20 3 22 15 4 5 11 6 20 13 3 15 2 6 17 22 5 20 11 14 6 22 12 19 21 17 21 9 1 2 5 17 18 12 3 2 2 4 15 5 11 4 6 1 2 16 10 14 14 9 12 11 7 11 13 11 14 20 11 5 4 9 15 9 14 7 22 14 18 17 22 10 6 4 22 4 22 22 21 14 14 4 20 22 20 2 20 2 22 15 22 22 18 16 2 21 13 12 14 18 2 2 1 18 3 5 11 22 16 21 14 8 9 13 11 9 4 13 15 15 3 15 13 13 21 20 21 10 2 11 10 14 11 9 7 7 18 21 2 16 21 2 15 13 11 5 21 17 9 19 7 2 5 21 3 18 11 1 10 7 6 15 3 4 1 3 18 22 13 10 6 9 20 15 13 18 11 16 8 15 16 16 13 1 4 15 20 4 22 16 17 13 22 2 3 18 5 4 15 15 14 5 6 13 21 17 14 5 16 13 2 11 21 21 14 7 1 19 8 18 7 16 9 2 9 14 14 8 22 14 2 14 2 20 21 3 12 16 15 21 18 8 8 17 19 12 18 8 17 18 7 6 7 11 12 4 8 19 1 20 19 7 19 13 10 16 9 18 13 18 1 16 11 17 11 11 15 16 5 5 15 12 17 22 1 9 19 7 22 11 22 21 17 6 19 2 20 16 2 18 10 11 17 4 7 8 5 2 21 17 20 6 4 22 2 12 20 18 1 2 21 2 3 1 17 5 21 21 16 3 16 22 13 2 15 6 4 22 5 9 22 21 6 22 16 4 4 4 19 17 4 14 15 10 10 19 18 10 18 22 21 21 13 2 10 18 2 12 4 18 21 14 17 6 13 7 12 5 20 16 22 20 7 10 19 9 19 14 5 6 13 4 13 15 15 9 12 14 1 13 20 11 22 17 10 7 7 5 14 17 9 8 16 15 6 17 6 20 12 1 21 3 2 16 17 2 12 2 2 22 10 16 2 10 21 3 15 15 5 4 3 18 14 1 15 11 17 5 14 14 6 12 6 2 22 2 1 4 16 3 16 1 22 1 15 20 12 12 11 13 5 15 3 2 8 4 14 21 8 7 20 22 8 9 1 22 15 5 13 19 22 8 1 11 21 1 11 9 3 2 6 12 8 16 11 3 21 18 22 18 20 8 20 21 6 13 3 22 9 11 11 8 15 19 13 17 17 17 10 11 13 1 5 1 14 7 13 13 14 19 13 18 4 16 10 3 21 12 11 5 19 2 10 16 6 19 1 13 16 6 5 11 14 11 16 19 8 10 15 6 17 8 14 12 5 22 7 6 2 4 14 18 14 20 17 21 12 20 4 7 22 15 7 4 3 5 5 5 10 4 2 14 3 9 8 5 7 15 16 9 17 10 21 21 14 6 12 6 22 6 2 19 3 11 21 8 14 10 17 4 2 17 1 15 17 11 7 6 1 16 4 16 19 21 16 11 12 17 12 3 5 21 6 18 10 8 20 8 1 4 18 22 19 7 8 20 13 14 3 8 3 15 5 8 10 7 19 1 12 7 6 5 19 6 22 11 16 2 15 18 4 3 7 4 17 15 11 13 20 9 5 8 4 3 12 12 9 1 9 13 9 11 21 4 9 15 12 8 6 4 15 1 21 8 19 18 9 11 22 17 12 17 10 8 12 17 1 12 2 18 3 9 6 9 10 9 13 22 16 8 11 9 5 15 12 17 5 20 10 7 22 21 1 12 14 16 3 12 18 10 14 21 12 14 3 9 7 17 4 12 3 20 12 14 2 2 7 14 17 16 11 17 7 8 13 10 13 11 6 8 11 13 10 5 21 11 13 18 19 9 6 9 13 3 12 4 17 12 15 17 14 5 18 6 1 15 22 3 18 15 10 9 14 8 3 11 20 19 5 8 1 5 22 7 1 12 3 7 12 11 22 8 12 19 12 2 7 12 6 3 6 2 4 13 12 17 19 7 7 13 7 13 15 1 11 3 1 4 9 21 7 19 20 13 17 1 20 9 22 16 15 16 4 19 21 9 4 2 4 3 6 14 20 13 16 22 11 9 22 2 7 5 20 15 15 14 7 22 12 2 18 19 9 2 22 14 17 10 1:  4.38684%
2:  5.88235%
3:  4.18744%
4:  4.78564%
5:  4.58624%
6:  4.08774%
7:  4.58624%
8:  3.88833%
9:  4.28714%
10:  3.48953%
11:  5.18445%
12:  4.88534%
13:  4.68594%
14:  5.28415%
15:  4.88534%
16:  4.38684%
17:  4.68594%
18:  4.18744%
19:  3.48953%
20:  3.98804%
21:  4.68594%
22:  5.48355%


-- 3 --a:1  --b:35 ---
